"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:3GjgNdJCSgwpzO0m17QoVc","Do You","spotify:artist:7qzzcFzliEAHMlDA9qaRVf, spotify:artist:7iUF39q93Xixo33E6IvNYm","Kassa Overall, Theo Croker","spotify:album:6tSHSLgLy19DgFpzKHrrJv","Go Get Ice Cream and Listen to Jazz","2019-01-11","1","8","284750","false","15","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1Tg5NJC3sQs6H6A5jeVF4i","Song in Blue (Interlude) [feat. AAAMYYY]","spotify:artist:0qQOHfWvRf8O1wXYXMmV6U, spotify:artist:5YCsKCBbhMHBKBh2MllF5d","Ryohu, AAAMYYY","spotify:album:1fIGEz0SyQJDTrxYCvMw9d","Ten Twenty","2018-11-30","1","10","111061","false","14","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0dZpFYIK9h1Wwwq6VEcqQq","Sonshine","spotify:artist:1n8hLoV90OhFCYXLtCD659, spotify:artist:4ClziihVpBeFXNyDH83Lde","Deaton Chris Anthony, UMI","spotify:album:4Xwyk1UnlDe8Mihp9UgED6","Sonshine","2019-07-11","1","1","172195","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5Xhsf1DLA9j2pVyCbqjkLh","Ordinary","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:71Q44PCgBGD6QyxI12jJNy","Balance","2019-05-17","1","1","159906","false","53","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3Ae9rMRXmjBJ2eseA9zHXD","La Casa Azul","spotify:artist:7qzzcFzliEAHMlDA9qaRVf, spotify:artist:49zXTngyUTielHTbbH5YKs","Kassa Overall, Roy Hargrove","spotify:album:6tSHSLgLy19DgFpzKHrrJv","Go Get Ice Cream and Listen to Jazz","2019-01-11","1","2","331595","true","25","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0ND36delZlYUcwNaCk9Uf5","holy terrain","spotify:artist:6nB0iY1cjSY1KyhYyuIIKH, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","FKA twigs, Future","spotify:album:1hDlZBsaWOz8St9iioQF0y","holy terrain","2019-09-09","1","1","243000","true","34","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3zZRB613fSlGXeFPvcGEii","_ _ _","spotify:artist:4y5KbLj7nD6CGw5Q4CDDx9","Mike Mitchell","spotify:album:7FLQ6OKB0Y4CuGtWILaqSx","Wifi","2015-01-06","1","10","253226","false","7","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3Kzh15q1ptYtU4m7YdMqXA","Burgundy Whip","spotify:artist:36zSkwftotDHslP3KUQpew, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:1KeJhR0ENFviw187pD4LPT","MED, Madlib, Blu","spotify:album:1Ddh3brHXiHs0fAvm2YoXQ","The Burgundy - EP","2013-02-19","1","1","160903","false","27","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:2qYodLgSjCdaaXxHOc3pbO","My Fancy Free Future Love","spotify:artist:2GHclqNVjqGuiE5mA7BEoc","Common","spotify:album:6Rf7DjuM5vH2SzNJytE9h4","Let Love","2019-08-30","1","10","261480","true","31","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5Fse8BFC410yZ4kpVqBCHt","Morning Sunrise","spotify:artist:05BX9gTvlalkzuFVg3CqyL","Weldon Irvine","spotify:album:1yixr0hxXd5h9L9nOAMcBP","The Sisters","2016-12-09","1","5","199320","false","51","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7w0zUV9mpySUlatne09Vsw","Sapphire Blue","spotify:artist:51FKMPw06mntCaz6yO6ddg","Jiwoo","spotify:album:2pea9jjb6aDDhS94HLCm0T","Maison","2019-07-06","1","3","257500","false","37","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0KOE1hat4SIer491XKk4Pa","A Change Is Gonna Come","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","spotify:album:2NFd4ApYFitFtJhGTSfDdP","Ain't That Good News","1964-03-01","1","7","191160","false","71","spotify:user:1227113","2019-12-13T16:28:46Z"
